x_left,x_right,x_center,PsSource_low_density,Native_Geant4_low_density,GATE_low_density,PsSource_middle_density,Native_Geant4_middle_density,GATE_middle_density,PsSource_high_density,Native_Geant4_high_density,GATE_high_density
0.0000000000,0.0125000000,0.0062500000,0.0296,0.0424,0.0367382796901,0,0,0,0,0,0
0.0125000000,0.0250000000,0.0187500000,0.1176,0.1112,0.100630940021,0,0,0,0,0,0
0.0250000000,0.0375000000,0.0312500000,0.168,0.1696,0.182094081942,0,0,0,0,0,0
0.0375000000,0.0500000000,0.0437500000,0.2528,0.2936,0.277134414184,0,0,0,0,0,0
0.0500000000,0.0625000000,0.0562500000,0.356,0.3424,0.303490136571,0,0,0,0,0,0
0.0625000000,0.0750000000,0.0687500000,0.3928,0.3816,0.390543886271,0,0,0,0,0,0
0.0750000000,0.0875000000,0.0812500000,0.4416,0.4888,0.491174826292,0,0,0,0,0,0
0.0875000000,0.1000000000,0.0937500000,0.54,0.5392,0.547879562335,0,0,0,0,0,0
0.1000000000,0.1125000000,0.1062500000,0.6112,0.6088,0.627745387749,0,0,0,0,0,0
0.1125000000,0.1250000000,0.1187500000,0.712,0.7304,0.717195112211,0,0,0,0,0,0
0.1250000000,0.1375000000,0.1312500000,0.82,0.7632,0.781886430796,0,0,0,0,0,0
0.1375000000,0.1500000000,0.1437500000,0.8544,0.8496,0.864148230972,0,0,0,0,0,0
0.1500000000,0.1625000000,0.1562500000,0.9112,0.9296,0.8984905359,0,0,0,0,0,0
0.1625000000,0.1750000000,0.1687500000,0.9888,0.9768,0.991933551633,0,0,0,0,0,0
0.1750000000,0.1875000000,0.1812500000,1.1304,1.076,1.05902084498,0,0,0,0,0,0
0.1875000000,0.2000000000,0.1937500000,1.1544,1.1424,1.19479274818,0,0,0,0,0,0
0.2000000000,0.2125000000,0.2062500000,1.252,1.2248,1.24351090169,0,0,0,0,0,0
0.2125000000,0.2250000000,0.2187500000,1.2744,1.3056,1.2954236882,0,0,0,0,0,0
0.2250000000,0.2375000000,0.2312500000,1.3888,1.4008,1.43838351569,0,0,0,0,0,0
0.2375000000,0.2500000000,0.2437500000,1.4864,1.4272,1.43598754093,0,0,0,0,0,0
0.2500000000,0.2625000000,0.2562500000,1.4944,1.5048,1.53661848095,0,0,0,0,0,0
0.2625000000,0.2750000000,0.2687500000,1.536,1.6344,1.63724942097,0,0,0,0,0,0
0.2750000000,0.2875000000,0.2812500000,1.7152,1.6584,1.63645076272,0,0,0,0,0,0
0.2875000000,0.3000000000,0.2937500000,1.7656,1.768,1.73867901925,0,0,0,0,0,0
