category,metric,value,status
run,status,PASS,PASS
run,events_read,100000,
run,events_analyzed,100000,
run,multiplicity_failures,0,PASS
run,plane_normal_failures,0,PASS
photon_cos_theta,chi_square,6.736666666666667,
photon_cos_theta,degrees_of_freedom,19,
photon_cos_theta,chi_square_z_score,-1.9893753611335845,PASS
photon_phi,chi_square,20.78128,
photon_phi,degrees_of_freedom,23,
photon_phi,chi_square_z_score,-0.3271324169599935,PASS
plane_normal_cos_theta,chi_square,17.701999999999998,
plane_normal_cos_theta,degrees_of_freedom,19,
plane_normal_cos_theta,chi_square_z_score,-0.21056340462773007,PASS
plane_normal_phi,chi_square,16.82336,
plane_normal_phi,degrees_of_freedom,23,
plane_normal_phi,chi_square_z_score,-0.9106958840645837,PASS
cartesian_axis,mean_abs_x,0.49986891807517364,PASS
cartesian_axis,mean_abs_y,0.4999087809538755,PASS
cartesian_axis,mean_abs_z,0.5001117308936543,PASS
cartesian_axis,maximum_mean_difference,0.0002428128184807088,PASS
coplanarity,mean_absolute_scalar_triple_product,2.8092155184427755e-13,
coplanarity,p99_absolute_scalar_triple_product,9.369487351460512e-13,
coplanarity,p999_absolute_scalar_triple_product,1.1743343214690693e-12,
coplanarity,maximum_absolute_scalar_triple_product,1.421918197638579e-12,PASS
energy_closure,maximum_absolute_error_MeV,8.000100004679211e-08,PASS
momentum_closure,maximum_error_MeV_over_c,1.1904595856269979e-12,PASS
opening_angle_degrees,low_middle_mean,72.37868815031752,
opening_angle_degrees,low_middle_std,26.170284814032392,
opening_angle_degrees,low_middle_minimum,0.257083724460082,
opening_angle_degrees,low_middle_maximum,119.98154036099945,
opening_angle_degrees,low_high_mean,131.91804760366642,
opening_angle_degrees,low_high_std,17.906453884944803,
opening_angle_degrees,low_high_minimum,90.30858365784907,
opening_angle_degrees,low_high_maximum,179.78233660898547,
opening_angle_degrees,middle_high_mean,155.70326424601612,
opening_angle_degrees,middle_high_std,13.617857749859452,
opening_angle_degrees,middle_high_minimum,120.03345435272388,
opening_angle_degrees,middle_high_maximum,179.98383743354785,
