x_low,x_high,x_center,observed_count,observed_probability,observed_density,expected_probability,expected_density,observed_cdf,expected_cdf_grid_derived,cdf_difference_grid_derived
0.0,0.02,0.01,90,0.0003,0.014999999999999998,0.00024020136433750556,0.012010068216875277,0.0003,0.00024020136433750556,5.9798635662494415e-05
0.02,0.04,0.03,365,0.0012166666666666667,0.06083333333333333,0.0009992709650896484,0.04996354825448242,0.0015166666666666666,0.0012394723294271539,0.0002771943372395127
0.04,0.06,0.05,593,0.0019766666666666665,0.09883333333333334,0.001796441643915789,0.08982208219578947,0.003493333333333333,0.003035913973342943,0.00045741935999039007
0.06,0.08,0.07,802,0.002673333333333333,0.13366666666666663,0.0031410288584044366,0.1570514429202218,0.006166666666666666,0.00617694283174738,-1.027616508071389e-05
0.08,0.1,0.09,1076,0.003586666666666667,0.17933333333333332,0.0038818221491887677,0.19409110745943836,0.009753333333333333,0.010058764980936148,-0.00030543164760281523
0.1,0.12,0.11,1309,0.004363333333333334,0.2181666666666668,0.0038826585950644628,0.19413292975322324,0.014116666666666666,0.01394142357600061,0.00017524309066605653
0.12,0.14,0.13,1587,0.00529,0.2644999999999998,0.005213161051591606,0.2606580525795801,0.019406666666666666,0.019154584627592217,0.00025208203907444923
0.14,0.16,0.15000000000000002,1844,0.006146666666666667,0.30733333333333346,0.006016756579315036,0.30083782896575195,0.02555333333333333,0.02517134120690725,0.0003819921264260791
0.16,0.18,0.16999999999999998,2047,0.006823333333333333,0.34116666666666684,0.0071313317472590145,0.3565665873629509,0.032376666666666665,0.032302672954166264,7.399371250040032e-05
0.18,0.2,0.19,2261,0.007536666666666666,0.37683333333333296,0.007940564067256312,0.39702820336281525,0.03991333333333333,0.04024323702142257,-0.00032990368808924475
0.2,0.22,0.21000000000000002,2609,0.008696666666666667,0.43483333333333357,0.008747298185108627,0.4373649092554316,0.048609999999999993,0.0489905352065312,-0.00038053520653120315
0.22,0.24,0.22999999999999998,2734,0.009113333333333333,0.4556666666666669,0.007615612916878833,0.38078064584394183,0.05772333333333333,0.05660614812341003,0.0011171852099233007
0.24,0.26,0.25,2956,0.009853333333333334,0.49266666666666625,0.01011406712616517,0.505703356308258,0.06757666666666666,0.0667202152495752,0.0008564514170914667
0.26,0.28,0.27,3197,0.010656666666666667,0.5328333333333328,0.010940400036497839,0.5470200018248914,0.07823333333333332,0.07766061528607303,0.0005727180472602927
0.28,0.3,0.29000000000000004,3607,0.012023333333333334,0.6011666666666678,0.011776896114312011,0.5888448057156017,0.09025666666666665,0.08943751140038504,0.0008191552662816098
0.3,0.32,0.31,3698,0.012326666666666666,0.6163333333333327,0.01291192955859342,0.6455964779296705,0.10258333333333332,0.10234944095897847,0.0002338923743548521
0.32,0.34,0.33,4117,0.013723333333333334,0.686166666666666,0.0137320695348003,0.6866034767400144,0.11630666666666666,0.11608151049377877,0.0002251561728878887
0.34,0.36,0.35,4177,0.013923333333333333,0.6961666666666679,0.012377589322836667,0.6188794661418345,0.13022999999999998,0.12845909981661544,0.0017709001833845495
0.36,0.38,0.37,4616,0.015386666666666667,0.7693333333333326,0.015088512452107966,0.7544256226053976,0.14561666666666664,0.1435476122687234,0.0020690543979432485
0.38,0.4,0.39,4705,0.015683333333333334,0.784166666666666,0.01591908075240212,0.7959540376201052,0.16129999999999997,0.1594666930211255,0.0018333069788744605
0.4,0.42,0.41000000000000003,5043,0.01681,0.8405000000000015,0.016743321305603506,0.8371660652801769,0.17810999999999996,0.176210014326729,0.0018999856732709597
0.42,0.44,0.43,5137,0.017123333333333334,0.856166666666666,0.018179594432011534,0.9089797216005759,0.1952333333333333,0.19438960875874053,0.0008437245745927524
0.44,0.46,0.45,5524,0.018413333333333334,0.9206666666666659,0.018988051562974204,0.9494025781487093,0.21364666666666662,0.21337766032171473,0.0002690063449518887
0.46,0.48,0.47,5598,0.01866,0.9330000000000017,0.01622322661132909,0.8111613305664559,0.23230666666666663,0.2296008869330438,0.0027057797336228206
0.48,0.5,0.49,5980,0.019933333333333334,0.9966666666666658,0.020298423260136308,1.0149211630068145,0.25223999999999996,0.24989931019318012,0.00234068980681984
0.5,0.52,0.51,6164,0.020546666666666668,1.0273333333333325,0.021099510665417074,1.0549755332708528,0.2727866666666666,0.2709988208585972,0.0017878458080693993
0.52,0.54,0.53,6320,0.021066666666666668,1.0533333333333323,0.021896497526625626,1.0948248763312802,0.2938533333333333,0.29289531838522287,0.0009580149481104305
0.54,0.56,0.55,6683,0.022276666666666667,1.1138333333333323,0.022692400601250797,1.1346200300625389,0.31612999999999997,0.31558771898647364,0.0005422810135263245
0.56,0.58,0.5700000000000001,6879,0.02293,1.1465000000000054,0.020557068352866265,1.027853417643318,0.33906,0.3361447873393399,0.0029152126606600826
0.58,0.6,0.59,7048,0.023493333333333335,1.1746666666666656,0.024530196472217245,1.2265098236108611,0.3625533333333333,0.36067498381155716,0.0018783495217761237
0.6,0.62,0.61,7332,0.02444,1.2219999999999989,0.025282014027667683,1.264100701383383,0.3869933333333333,0.3859569978392248,0.0010363354941084757
0.62,0.64,0.63,7547,0.025156666666666667,1.2578333333333322,0.026020026901911016,1.3010013450955498,0.41214999999999996,0.41197702474113584,0.00017297525886411647
0.64,0.66,0.65,7899,0.02633,1.316499999999999,0.026753923876093596,1.3376961938046785,0.43848,0.43873094861722944,-0.0002509486172294628
0.66,0.68,0.67,8014,0.026713333333333332,1.3356666666666654,0.02777425763680803,1.3887128818404002,0.4651933333333333,0.46650520625403746,-0.0013118729207041713
0.68,0.7000000000000001,0.6900000000000001,8373,0.02791,1.3954999999999989,0.028466193448504654,1.4233096724252314,0.4931033333333333,0.4949713997025421,-0.0018680663692088317
0.7000000000000001,0.72,0.71,8262,0.02754,1.3770000000000064,0.0235465015543706,1.1773250777185353,0.5206433333333332,0.5185179012569127,0.0021254320764205747
0.72,0.74,0.73,8544,0.02848,1.4239999999999986,0.029560036721037797,1.4780018360518885,0.5491233333333332,0.5480779379779505,0.0010453953553827278
0.74,0.76,0.75,8783,0.029276666666666666,1.463833333333332,0.030236900081715007,1.511845004085749,0.5783999999999998,0.5783148380596654,8.516194033436619e-05
0.76,0.78,0.77,8991,0.02997,1.4984999999999986,0.03090942671164458,1.5454713355822276,0.6083699999999999,0.60922426477131,-0.0008542647713101204
0.78,0.8,0.79,9301,0.031003333333333334,1.5501666666666654,0.03158678864501734,1.5793394322508658,0.6393733333333332,0.6408110534163273,-0.0014377200829940318
0.8,0.8200000000000001,0.81,9293,0.030976666666666666,1.548833333333332,0.032269830018351015,1.6134915009175492,0.6703499999999999,0.6730808834346783,-0.0027308834346784217
0.8200000000000001,0.84,0.8300000000000001,9737,0.03245666666666667,1.622833333333341,0.029105454550919962,1.455272727546005,0.7028066666666666,0.7021863379855983,0.0006203286810683162
0.84,0.86,0.85,9865,0.032883333333333334,1.6441666666666652,0.03367243987875207,1.683621993937602,0.73569,0.7358587778643504,-0.0001687778643504334
0.86,0.88,0.87,10223,0.034076666666666665,1.7038333333333318,0.03445286883517938,1.7226434417589676,0.7697666666666666,0.7703116466995298,-0.0005449800328631849
0.88,0.9,0.89,10353,0.03451,1.7254999999999985,0.03560129463293267,1.780064731646632,0.8042766666666666,0.8059129413324625,-0.001636274665795856
0.9,0.92,0.91,10749,0.03583,1.7914999999999985,0.036557108664483674,1.827855433224182,0.8401066666666667,0.8424700499969462,-0.0023633833302795226
